ordre,verbe_fr,verbe_es,present,future,passe,conditionnel
1,être,Ser,"soy, eres, es, somos, sois, son","seré, serás, será, seremos, seréis, serán","he sido, has sido, ha sido, hemos sido, habéis sido, han sido","sería, serías, sería, seríamos, seríais, serían"
2,être,Estar,"estoy, estás, está, estamos, estáis, están","estaré, estarás, estará, estaremos, estaréis, estarán","he estado, has estado, ha estado, hemos estado, habéis estado, han estado","estaría, estarías, estaría, estaríamos, estaríais, estarían"
3,avoir,Haber,"he, has, ha, hemos, habéis, han","habré, habrás, habrá, habremos, habréis, habrán","he habido, has habido, ha habido, hemos habido, habéis habido, han habido","habría, habrías, habría, habríamos, habríais, habrían"
4,avoir,Tener,"tengo, tienes, tiene, tenemos, tenéis, tienen","tendré, tendrás, tendrá, tendremos, tendréis, tendrán","he tenido, has tenido, ha tenido, hemos tenido, habéis tenido, han tenido","tendría, tendrías, tendría, tendríamos, tendríais, tendrían"
5,faire,Hacer,"hago, haces, hace, hacemos, hacéis, hacen","haré, harás, hará, haremos, haréis, harán","he hecho, has hecho, ha hecho, hemos hecho, habéis hecho, han hecho","haría, harías, haría, haríamos, haríais, harían"
6,mettre,Poner,"pongo, pones, pone, ponemos, ponéis, ponen","pondré, pondrás, pondrá, pondremos, pondréis, pondrán","he puesto, has puesto, ha puesto, hemos puesto, habéis puesto, han puesto","pondría, pondrías, pondría, pondríamos, pondríais, pondrían"
7,payer,Pagar,"pago, pagas, paga, pagamos, pagáis, pagan","pagaré, pagarás, pagará, pagaremos, pagaréis, pagarán","he pagado, has pagado, ha pagado, hemos pagado, habéis pagado, han pagado","pagaría, pagarías, pagaría, pagaríamos, pagaríais, pagarían"
8,sortir,Salir,"salgo, sales, sale, salimos, salís, salen","saldré, saldrás, saldrá, saldremos, saldréis, saldrán","he salido, has salido, ha salido, hemos salido, habéis salido, han salido","saldría, saldrías, saldría, saldríamos, saldríais, saldrían"
9,apporter,Traer,"traigo, traes, trae, traemos, traéis, traen","traeré, traerás, traerá, traeremos, traeréis, traerán","he traído, has traído, ha traído, hemos traído, habéis traído, han traído","traería, traerías, traería, traeríamos, traeríais, traerían"
10,aller,Ir,"voy, vas, va, vamos, vais, van","iré, irás, irá, iremos, iréis, irán","he ido, has ido, ha ido, hemos ido, habéis ido, han ido","iría, irías, iría, iríamos, iríais, irían"
11,venir,Venir,"vengo, vienes, viene, venimos, venís, vienen","vendré, vendrás, vendrá, vendremos, vendréis, vendrán","he venido, has venido, ha venido, hemos venido, habéis venido, han venido","vendría, vendrías, vendría, vendríamos, vendríais, vendrían"
12,dire,Decir,"digo, dices, dice, decimos, decís, dicen","diré, dirás, dirá, diremos, diréis, dirán","he dicho, has dicho, ha dicho, hemos dicho, habéis dicho, han dicho","diría, dirías, diría, diríamos, diríais, dirían"
13,pouvoir,Poder,"puedo, puedes, puede, podemos, podéis, pueden","podré, podrás, podrá, podremos, podréis, podrán","he podido, has podido, ha podido, hemos podido, habéis podido, han podido","podría, podrías, podría, podríamos, podríais, podrían"
14,donner,Dar,"doy, das, da, damos, dais, dan","daré, darás, dará, daremos, daréis, darán","he dado, has dado, ha dado, hemos dado, habéis dado, han dado","daría, darías, daría, daríamos, daríais, darían"
15,recevoir,Recibir,"recibo, recibes, recibe, recibimos, recibís, reciben","recibiré, recibirás, recibirá, recibiremos, recibiréis, recibirán","he recibido, has recibido, ha recibido, hemos recibido, habéis recibido, han recibido","recibiría, recibirías, recibiría, recibiríamos, recibiríais, recibirían"
16,voir,Ver,"veo, ves, ve, vemos, veis, ven","veré, verás, verá, veremos, veréis, verán","he visto, has visto, ha visto, hemos visto, habéis visto, han visto","vería, verías, vería, veríamos, veríais, verían"
17,regarder,Mirar,"miro, miras, mira, miramos, miráis, miran","miraré, mirarás, mirará, miraremos, miraréis, mirarán","he mirado, has mirado, ha mirado, hemos mirado, habéis mirado, han mirado","miraría, mirarías, miraría, miraríamos, miraríais, mirarían"
18,revenir,Volver,"vuelvo, vuelves, vuelve, volvemos, volvéis, vuelven","volveré, volverás, volverá, volveremos, volveréis, volverán","he vuelto, has vuelto, ha vuelto, hemos vuelto, habéis vuelto, han vuelto","volvería, volverías, volvería, volveríamos, volveríais, volverían"
19,dormir,Dormir,"duermo, duermes, duerme, dormimos, dormís, duermen","dormiré, dormirás, dormirá, dormiremos, dormiréis, dormirán","he dormido, has dormido, ha dormido, hemos dormido, habéis dormido, han dormido","dormiría, dormirías, dormiría, dormiríamos, dormiríais, dormirían"
20,se reposer,Descansar,"descanso, descansas, descansa, descansamos, descansáis, descansan","descansaré, descansarás, descansará, descansaremos, descansaréis, descansarán","he descansado, has descansado, ha descansado, hemos descansado, habéis descansado, han descansado","descansaría, descansarías, descansaría, descansaríamos, descansaríais, descansarían"
21,acheter,Comprar,"compro, compras, compra, compramos, compráis, compran","compraré, comprarás, comprará, compraremos, compraréis, comprarán","he comprado, has comprado, ha comprado, hemos comprado, habéis comprado, han comprado","compraría, comprarías, compraría, compraríamos, compraríais, comprarían"
22,vendre,Vender,"vendo, vendes, vende, vendemos, vendéis, venden","venderé, venderás, venderá, venderemos, venderéis, venderán","he vendido, has vendido, ha vendido, hemos vendido, habéis vendido, han vendido","vendería, venderías, vendería, venderíamos, venderíais, venderían"
23,vivre,Vivir,"vivo, vives, vive, vivimos, vivís, viven","viviré, vivirás, vivirá, viviremos, viviréis, vivirán","he vivido, has vivido, ha vivido, hemos vivido, habéis vivido, han vivido","viviría, vivirías, viviría, viviríamos, viviríais, vivirían"
24,habiter,Habitar,"habito, habitas, habita, habitamos, habitáis, habitan","habitaré, habitarás, habitará, habitaremos, habitaréis, habitarán","he habitado, has habitado, ha habitado, hemos habitado, habéis habitado, han habitado","habitaría, habitarías, habitaría, habitaríamos, habitaríais, habitarían"
25,plaire,gustar,"gusta, gustan","gustará, gustarán","ha gustado, han gustado","gustaría, gustarían"
26,demander,Pedar,"pido, pides, pide, pedimos, pedís, piden","pediré, pedirás, pedirá, pediremos, pediréis, pedirán","he pedido, has pedido, ha pedido, hemos pedido, habéis pedido, han pedido","pediría, pedirías, pediría, pediríamos, pediríais, pedirían"
27,continuer,Seguir,"sigo, sigues, sigue, seguimos, seguís, siguen","seguiré, seguirás, seguirá, seguiremos, seguiréis, seguirán","he seguido, has seguido, ha seguido, hemos seguido, habéis seguido, han seguido","seguiría, seguirías, seguiría, seguiríamos, seguiríais, seguirían"
28,lire,Leer,"leo, lees, lee, leemos, leéis, leen","leeré, leerás, leerá, leeremos, leeréis, leerán","he leído, has leído, ha leído, hemos leído, habéis leído, han leído","leería, leerías, leería, leeríamos, leeríais, leerían"
29,croire,Creer,"creo, crees, cree, creemos, creéis, creen","creeré, creerás, creerá, creeremos, creeréis, creerán","he creído, has creído, ha creído, hemos creído, habéis creído, han creído","creería, creerías, creería, creeríamos, creeríais, creerían"
30,créer,Crear,"creo, creas, crea, creamos, creáis, crean","crearé, crearás, creará, crearemos, crearéis, crearán","he creado, has creado, ha creado, hemos creado, habéis creado, han creado","crearía, crearías, crearía, crearíamos, crearíais, crearían"
31,attendre,Esperar,"espero, esperas, espera, esperamos, esperáis, esperan","esperaré, esperarás, esperará, esperaremos, esperaréis, esperarán","he esperado, has esperado, ha esperado, hemos esperado, habéis esperado, han esperado","esperaría, esperarías, esperaría, esperaríamos, esperaríais, esperarían"
32,savoir,Saber,"sé, sabes, sabe, sabemos, sabéis, saben","sabré, sabrás, sabrá, sabremos, sabréis, sabrán","he sabido, has sabido, ha sabido, hemos sabido, habéis sabido, han sabido","sabría, sabrías, sabría, sabríamos, sabríais, sabrían"
33,pensée,Pensar,"pienso, piensas, piensa, pensamos, pensáis, piensan","pensaré, pensarás, pensará, pensaremos, pensaréis, pensarán","he pensado, has pensado, ha pensado, hemos pensado, habéis pensado, han pensado","pensaría, pensarías, pensaría, pensaríamos, pensaríais, pensarían"
34,connaître,Conocer,"conozco, conoces, conoce, conocemos, conocéis, conocen","conoceré, conocerás, conocerá, conoceremos, conoceréis, conocerán","he conocido, has conocido, ha conocido, hemos conocido, habéis conocido, han conocido","conocería, conocerías, conocería, conoceríamos, conoceríais, conocerían"
35,avoir besoin,Necesitar,"necesito, necesitas, necesita, necesitamos, necesitáis, necesitan","necesitaré, necesitarás, necesitará, necesitaremos, necesitaréis, necesitarán","he necesitado, has necesitado, ha necesitado, hemos necesitado, habéis necesitado, han necesitado","necesitaría, necesitarías, necesitaría, necesitaríamos, necesitaríais, necesitarían"
36,écouter,Escuchar,"escucho, escuchas, escucha, escuchamos, escucháis, escuchan","escucharé, escucharás, escuchará, escucharemos, escucharéis, escucharán","he escuchado, has escuchado, ha escuchado, hemos escuchado, habéis escuchado, han escuchado","escucharía, escucharías, escucharía, escucharíamos, escucharíais, escucharían"
37,entendre,Oír,"oigo, oyes, oye, oímos, oís, oyen","oiré, oirás, oirá, oiremos, oiréis, oirán","he oído, has oído, ha oído, hemos oído, habéis oído, han oído","oíría, oirías, oíría, oíríamos, oiríais, oírían"
38,comprendre,Entender,"entiendo, entiendes, entiende, entendemos, entendéis, entienden","entenderé, entenderás, entenderá, entenderemos, entenderéis, entenderán","he entendido, has entendido, ha entendido, hemos entendido, habéis entendido, han entendido","entendería, entenderías, entendería, entenderíamos, entenderíais, entenderían"
39,comprendre,Comprender,"comprendo, comprendes, comprende, comprendemos, comprendéis, comprenden","comprenderé, comprenderás, comprenderá, comprenderemos, comprenderéis, comprenderán","he comprendido, has comprendido, ha comprendido, hemos comprendido, habéis comprendido, han comprendido","comprendería, comprenderías, comprendería, comprenderíamos, comprenderíais, comprenderían"
40,décider,Decidir,"decido, decides, decide, decidimos, decidís, deciden","decidiré, decidirás, decidirá, decidiremos, decidiréis, decidirán","he decidido, has decidido, ha decidido, hemos decidido, habéis decidido, han decidido","decidiría, decidirías, decidiría, decidiríamos, decidiríais, decidirían"
41,ressentir,Sentir,"siento, sientes, siente, sentimos, sentís, sienten","sentiré, sentirás, sentirá, sentiremos, sentiréis, sentirán","he sentido, has sentido, ha sentido, hemos sentido, habéis sentido, han sentido","sentiría, sentirías, sentiría, sentiríamos, sentiríais, sentirían"
42, vouloir,Querer,"quiero, quieres, quiere, queremos, queréis, quieren","querré, querrás, querrá, querremos, querréis, querrán","he querido, has querido, ha querido, hemos querido, habéis querido, han querido","querría, querrías, querría, querríamos, querríais, querrían"
43,aimer,Amar,"amo, amas, ama, amamos, amáis, aman","amaré, amarás, amará, amaremos, amaréis, amarán","he amado, has amado, ha amado, hemos amado, habéis amado, han amado","amaría, amarías, amaría, amaríamos, amaríais, amarían"
44,prendre,Tomar,"tomo, tomas, toma, tomamos, tomáis, toman","tomaré, tomarás, tomará, tomaremos, tomaréis, tomarán","he tomado, has tomado, ha tomado, hemos tomado, habéis tomado, han tomado","tomaría, tomarías, tomaría, tomaríamos, tomaríais, tomarían"
45,étudier,Estudiar,"estudio, estudias, estudia, estudiamos, estudiáis, estudian","estudiaré, estudiarás, estudiará, estudiaremos, estudiaréis, estudiarán","he estudiado, has estudiado, ha estudiado, hemos estudiado, habéis estudiado, han estudiado","estudiaría, estudiarías, estudiaría, estudiaríamos, estudiaríais, estudiarían"
46,apprendre,Aprender,"aprendo, aprendes, aprende, aprendemos, aprendéis, aprenden","aprenderé, aprenderás, aprenderá, aprenderemos, aprenderéis, aprenderán","he aprendido, has aprendido, ha aprendido, hemos aprendido, habéis aprendido, han aprendido","aprendería, aprenderías, aprendería, aprenderíamos, aprenderíais, aprenderían"
47,accepter,Aceptar,"acepto, aceptas, acepta, aceptamos, aceptáis, aceptan","aceptaré, aceptarás, aceptará, aceptaremos, aceptaréis, aceptarán","he aceptado, has aceptado, ha aceptado, hemos aceptado, habéis aceptado, han aceptado","aceptaría, aceptarías, aceptaría, aceptaríamos, aceptaríais, aceptarían"
48,nettoyer,Limpiar,"limpio, limpias, limpia, limpiamos, limpiáis, limpian","limpiaré, limpiarás, limpiará, limpiaremos, limpiaréis, limpiarán","he limpiado, has limpiado, ha limpiado, hemos limpiado, habéis limpiado, han limpiado","limpiaría, limpiarías, limpiaría, limpiaríamos, limpiaríais, limpiarían"
49,enseigner,Enseñar,"enseño, enseñas, enseña, enseñamos, enseñáis, enseñan","enseñaré, enseñarás, enseñará, enseñaremos, enseñaréis, enseñarán","he enseñado, has enseñado, ha enseñado, hemos enseñado, habéis enseñado, han enseñado","enseñaría, enseñarías, enseñaría, enseñaríamos, enseñaríais, enseñarían"
50,chercher,Buscar,"busco, buscas, busca, buscamos, buscáis, buscan","buscaré, buscarás, buscará, buscaremos, buscaréis, buscarán","he buscado, has buscado, ha buscado, hemos buscado, habéis buscado, han buscado","buscaría, buscarías, buscaría, buscaríamos, buscaríais, buscarían"
51,aider,Ayudar,"ayudo, ayudas, ayuda, ayudamos, ayudáis, ayudan","ayudaré, ayudarás, ayudará, ayudaremos, ayudaréis, ayudarán","he ayudado, has ayudado, ha ayudado, hemos ayudado, habéis ayudado, han ayudado","ayudaría, ayudarías, ayudaría, ayudaríamos, ayudaríais, ayudarían"
52,changer,Cambiar,"cambio, cambias, cambia, cambiamos, cambiáis, cambian","cambiaré, cambiarás, cambiará, cambiaremos, cambiaréis, cambiarán","he cambiado, has cambiado, ha cambiado, hemos cambiado, habéis cambiado, han cambiado","cambiaría, cambiarías, cambiaría, cambiaríamos, cambiaríais, cambiarían"
53,écrire,Escribir,"escribo, escribes, escribe, escribimos, escribís, escriben","escribiré, escribirás, escribirá, escribiremos, escribiréis, escribirán","he escrito, has escrito, ha escrito, hemos escrito, habéis escrito, han escrito","escribiría, escribirías, escribiría, escribiríamos, escribiríais, escribirían"
54,manger,Comer,"como, comes, come, comemos, coméis, comen","comeré, comerás, comerá, comeremos, comeréis, comerán","he comido, has comido, ha comido, hemos comido, habéis comido, han comido","comería, comerías, comería, comeríamos, comeríais, comerían"
55,boire,Beber,"bebo, bebes, bebe, bebemos, bebéis, beben","beberé, beberás, beberá, beberemos, beberéis, beberán","he bebido, has bebido, ha bebido, hemos bebido, habéis bebido, han bebido","bebería, beberías, bebería, beberíamos, beberíais, beberían"
56,servir,Servir,"sirvo, sirves, sirve, servimos, servís, sirven","serviré, servirás, servirá, serviremos, serviréis, servirán","he servido, has servido, ha servido, hemos servido, habéis servido, han servido","serviría, servirías, serviría, serviríamos, serviríais, servirían"
