rank,es_word,es_sentence,fr_word,fr_sentence
1,el,"esa mujer era la mujer que yo quería ser",le,"cette femme était la femme que je voulais être"
2,de,"el hijo de un hermano mío",du,"le fils d'un de mes frères"
15,para,"¡tengo una sorpresa sensacional para ti!",pour,"J'ai une surprise sensationnelle pour toi !"
16,como,"ser compositor en España es como ser torero en Finlandia",comme,"être compositeur en Espagne, c'est comme être torero en Finlande"
3,que,"dice que no",qui,"dit non"
4,y,"él y ella sabían leer y escribir",et,"lui et elle savaient lire et écrire"
5,a,"se fue a la cama",au,"elle est allée au lit"
6,en,"no está en la casa",dans,"il n'est pas dans la maison"
7,un,"era un hombre simpático",un,"c'était un homme sympathique"
8,ser,"'es nuevo, es bueno'",être,"C'est nouveau, c'est bon"
9,se,"la abuela se acostó tranquila",se,"la grand-mère s'est couchée tranquillement"
17,estar,"él está en el trabajo",être,"il est au travail"
18,tener,"estaba seguro de tener buena memoria",avoir,"j'étais sûr d'avoir une bonne mémoire"
19,le,"nunca le dijo la verdad",lui,"elle ne lui a jamais dit la vérité"
20,lo,"lo mejor es estudiar mucho",le,"le mieux est d'étudier beaucoup"
21,lo,"lo compré en la tienda",le,"je l'ai acheté au magasin"
22,todo,"todos los hombres son iguales",tout,"tous les hommes sont pareils"
23,pero,"'no significa nada para mí, pero no puedo olvidarla'",mais,"Ça ne signifie rien pour moi, mais je ne peux pas l'oublier"
10,no,"no hay modo de negar nada",non,"il n'y a pas moyen de nier quoi que ce soit"
11,haber,"no ha dicho nada",avoir,"il n'a rien dit"
12,por,"así fue por mucho tiempo",pendant,"ça a été comme ça pendant longtemps"
13,con,"hay un hombre con ella",avec,"il y a un homme avec elle"
14,su,"¿quién era? ¿Su hermana? ¿Su amiga?",son,"qui était-ce? Sa sœur? Son amie ?"
24,más,"él necesitaba más dinero",plus,"il avait besoin de plus d'argent"
25,hacer,"he podido hacer lo que me gusta",fais,"j'ai pu faire ce que j'aime"
26,o,"sí esperaba uno o dos muertos",ou,"oui, j'attendais un ou deux morts"
27,poder,"¡se hace lo que se puede!",pouvoir,"On fait ce que l'on peut !"
28,decir,"parece que dice la verdad",dire,"il semble dire la vérité"
29,este,"y entendía estas cosas muy bien",ce,"et il comprenait très bien ces choses"
30,ir,"me habían invitado a ir a su casa",aller,"j'avais été invité à aller chez lui"
31,otro,"¿por qué no podía ser otra cosa?",autre," pourquoi ne pouvait-il pas être autre chose ?"
48,sobre,"dejó el papel sobre la mesa y se fue",sur,"il a laissé le papier sur la table et est parti"
49,mi,"mi casa es su casa",ma,"ma maison est votre maison"
50,alguno,"habló algunas palabras con el agente de negocios",quelques,"il a parlé quelques mots avec l'agent d'affaires"
32,ese,"¿dónde viven esas mujeres?",ce, où vivent ces femmes ?
33,la,"la puso en su bolsillo",la,"il l'a mis dans sa poche"
34,si,"'si quiere cazar, vamos a cazar'",si,"si vous voulez chasser, allons chasser"
35,me,"¿cuando me va a llamar?",moi,"quand allez-vous m'appeler ?"
36,ya,"su marido ya ha dicho todo",déjà,"son mari a déjà tout dit"
37,ver,"había que subir para ver las ruinas",voir,"il fallait monter pour voir les ruines"
38,porque,"lo vendo sólo porque tengo un apuro muy grande",parce que,"je le vends seulement parce que j'ai un gros souci"
39,dar,"me dio esta carta para Ud.",donner,"il m'a donné cette lettre pour vous"
40,cuando,"'aquella es de mis nietos, cuando eran bebés'",quand,"'cela concerne mes petits-enfants, quand ils étaient bébés'"
41,él,"él es bastante simpático",il,"il est assez sympathique"
42,muy,"está muy contento con mi trabajo",très,"il est très content de mon travail"
43,sin,"se habían quedado sin dinero",sans,"ils étaient restés sans argent"
44,vez,"es la primera vez que estoy junto al mar",fois,"c'est la première fois que je suis près de la mer"
45,mucho,"por lo visto tienen mucho dinero",beaucoup,"apparemment, ils ont beaucoup d'argent"
46,saber,"ellos lo saben y lo reconocen",savoir,"ils le savent et le reconnaissent"
47,qué,"no sé qué voy a hacer",quoi,"je ne sais pas ce que je vais faire"
51,mismo,"pronunciando el mismo discurso en siete idiomas",même,"en prononçant le même discours en sept langues"
52,yo,"¡Yo soy el padre!",je,"je suis le père !"
53,también,"y también van a estar los otros",aussi,"et les autres seront là aussi"
54,hasta,"'toda la noche, hasta las tres de la mañana'",jusqu'à,"toute la nuit, jusqu'à trois heures du matin"
55,año,"no lo supo hasta casi un año después",an,"il ne l'a pas su avant presque un an"
56,dos,"de allí salieron dos hermanas solteras",deux,"de là sont sorties deux sœurs célibataires"
57,querer,"quiero que este proceso salga con limpieza",vouloir,"je veux que ce processus se déroule proprement"
58,entre,"la cosa es entre tú y yo",entre,"la chose est entre toi et moi"
59,así,"la vida es así",ainsi,"la vie est ainsi"
60,primero,"las primeras palabras que nos enseñan a leer y escribir",premier,"les premiers mots qui nous apprennent à lire et à écrire"
61,desde,"lo había pensado desde el primer momento",depuis,"je l'avais pensé depuis le premier moment"
62,grande,"lo ha mirado a los grandes ojos negros",grand,"elle l'a regardé dans les grands yeux noirs"
63,eso,"y eso no es todo",ce,"et ce n'est pas tout"
64,ni,"pero ni eso me tranquilizó",ni,"mais même cela ne m'a pas tranquillisé"
65,nos,"nos vio en la calle",nous,"il nous a vu dans la rue"
66,llegar,"como para llegar hasta el fondo de las almas",arriver,"comme pour arriver au fond des âmes"
67,pasar,"tras la ventana lo veo pasar una y otra vez",passer,"derrière la fenêtre, je le vois passer encore et encore"
68,tiempo,"he estado mucho tiempo con ella",temps,"j'ai passé beaucoup de temps avec elle"
69,ella,"ella es muy estudiosa",elle,"elle est très studieuse"
86,parte,"el arte es una parte tan importante de la cultura",partie,"l'art est une partie si importante de la culture"
87,después,"vamos a dar un paseo después de comer",après,"nous allons faire une promenade après le repas"
88,vida,"ha dedicado toda la vida a la música",vie,"il a consacré toute sa vie à la musique"
70,sí,"quiero una respuesta concreta: sí o no",oui,"je veux une réponse concrète : oui ou non"
89,quedar,"el aire empezó a quedarse quieto",rester,"l'air commença à rester calme"
71,día,"cada día hay más problemas",jour,"chaque jour il y a plus de problèmes"
72,uno,"hay uno que ya lo está haciendo",un,"il y en a un qui le fait déjà"
73,bien,"y entonces hice bien en quedarme",bien,"et alors, j'ai bien fait de rester"
74,poco,"trabajó poco tiempo con él",peu,"elle a travaillé peu de temps avec lui"
75,deber,"'te debes calmar, le aconsejó T.'",devoir,"'tu dois te calmer', conseilla T."
76,entonces,"vamos entonces a cambiarlo",alors,"nous allons donc le changer"
77,poner,"puso el cuchillo en manos de M.",mettre,"il a mis le couteau entre les mains de M."
78,cosa,"estoy ya interesado en otra cosa",chose,"je suis déjà intéressé par autre chose"
79,tanto,"no podía creer que haya tanta gente junta",tellement,"je ne pouvais pas croire qu'il y avait tant de gens ensemble"
80,hombre,"yo soy un hombre de pocas necesidades",homme,"je suis un homme de peu de besoins"
81,parecer,"'parecía dormir, tan inmóvil estaba'",sembler,"'il semblait dormir, si immobile'"
