"rank","word_es","word_en","explicacion"
1,"Ser (presente)","I am, you are, he is, we are, you are, they are","Verbo irregular en presente. Cambia dependiendo de la persona."
2,"Yo","I","'I' siempre se escribe en mayúscula en inglés, incluso si no está al principio de la oración."
3,"Tú","You (singular)","'You' se usa tanto para singular como para plural. Aquí es singular."
4,"Él","He","Pronombre personal masculino."
5,"Ella","She","Pronombre personal femenino."
6,"Nosotros","We","Se refiere a un grupo de personas que incluye al hablante."
7,"Ellos","They","Pronombre usado para referirse a un grupo de personas."
8,"Hola","Hello","Saludo común."
9,"Adiós","Goodbye","Forma de despedirse."
10,"Gracias","Thank you","Expresión para dar las gracias."
11,"Por favor","Please","Se utiliza para hacer una petición educada."
12,"Sí","Yes","Se usa para afirmar."
13,"No","No","Negación, igual que en español."
14,"Tener (presente)","I have, you have, he/she has, we have, you have, they have","Verbo irregular en tercera persona del singular ('he/she has')."
15,"Libro","Book","Sustantivo común."
16,"Casa","House","Sustantivo común."
17,"Perro","Dog","Sustantivo común."
18,"Gato","Cat","Sustantivo común."
19,"Agua","Water","Sustantivo incontable en inglés."
20,"Comida","Food","Sustantivo incontable."
21,"Ir (presente)","I go, you go, he/she goes, we go, you go, they go","Verbo irregular en tercera persona del singular ('he/she goes')."
22,"Escuela","School","Sustantivo común."
23,"Trabajo","Work","Puede ser verbo o sustantivo. Aquí es un sustantivo."
24,"Amigo","Friend","Sustantivo común."
25,"Familia","Family","Sustantivo común."
26,"Yo soy estudiante","I am a student","'A' es el artículo indefinido en singular."
27,"Él tiene un perro","He has a dog","'Has' es la forma de 'have' en tercera persona del singular."
28,"Nosotros vamos a la escuela","We go to school","Verbo 'go' en presente simple."
29,"Comer (presente)","I eat, you eat, he/she eats, we eat, you eat, they eat","Verbo regular, con 's' en tercera persona del singular."
30,"Manzana","Apple","Sustantivo común."
31,"Pan","Bread","Sustantivo incontable."
32,"Leche","Milk","Sustantivo incontable."
33,"Ella come una manzana","She eats an apple","El verbo 'eat' lleva 's' en tercera persona del singular."
34,"Ellos tienen leche","They have milk","No se usa el artículo 'a' porque 'milk' es incontable."
35,"Hablar (presente)","I speak, you speak, he/she speaks, we speak, you speak, they speak","Verbo regular con 's' en tercera persona del singular."
36,"Inglés","English","Se refiere al idioma, siempre se escribe con mayúscula en inglés."
37,"Español","Spanish","Idioma, siempre con mayúscula en inglés."
38,"Idioma","Language","Sustantivo común."
39,"Yo hablo español","I speak Spanish","No se usa el artículo 'the' para los idiomas en inglés."
40,"Nosotros aprendemos inglés","We learn English","No se usa el artículo 'the' antes de los idiomas."
41,"Hacer (presente)","I do/make, you do/make, he/she does/makes, we do/make, you do/make, they do/make","'Does' en tercera persona del singular."
42,"Tarea","Homework","Sustantivo incontable."
43,"Ejercicio","Exercise","Puede ser verbo o sustantivo. Aquí es sustantivo."
44,"Trabajo","Work (noun)","Sustantivo común."
45,"Él hace su tarea","He does his homework","'Does' es la forma de 'do' en tercera persona del singular."
46,"Ellas hacen ejercicio","They do exercise","'Do' es el auxiliar usado en presente."
47,"Ver (presente)","I see, you see, he/she sees, we see, you see, they see","Verbo regular con 's' en tercera persona del singular."
48,"Televisión","Television","Sustantivo común."
49,"Película","Movie","Sustantivo común."
50,"Nosotros vemos una película","We watch a movie","'Watch' se usa para películas y programas de TV."
51,"Escribir (presente)","I write, you write, he/she writes, we write, you write, they write","Verbo regular con 's' en tercera persona del singular."
52,"Lápiz","Pencil","Sustantivo común."
53,"Papel","Paper","Sustantivo incontable."
54,"Carta","Letter","Sustantivo común."
55,"Ella escribe una carta","She writes a letter","El verbo 'write' lleva 's' en tercera persona del singular."
56,"Leer (presente)","I read, you read, he/she reads, we read, you read, they read","Verbo regular con 's' en tercera persona del singular."
57,"Revista","Magazine","Sustantivo común."
58,"Periódico","Newspaper","Sustantivo común."
59,"Ellos leen el periódico","They read the newspaper","Se usa 'the' porque se refiere a algo específico."
60,"Jugar (presente)","I play, you play, he/she plays, we play, you play, they play","Verbo regular con 's' en tercera persona del singular."
61,"Fútbol","Soccer","Sustantivo común."
62,"Baloncesto","Basketball","Sustantivo común."
63,"Nosotros jugamos fútbol","We play soccer","En inglés americano se usa 'soccer' en lugar de 'football'."
64,"Comprar (presente)","I buy, you buy, he/she buys, we buy, you buy, they buy","Verbo regular con 's' en tercera persona del singular."
65,"Tienda","Store","Sustantivo común."
66,"Ropa","Clothes","Sustantivo plural, siempre se usa en plural en inglés."
67,"Ella compra ropa nueva","She buys new clothes","El verbo 'buy' lleva 's' en tercera persona del singular."
68,"Vender (presente)","I sell, you sell, he/she sells, we sell, you sell, they sell","Verbo regular con 's' en tercera persona del singular."
69,"Carro","Car","Sustantivo común."
70,"Bicicleta","Bicycle","Sustantivo común."
71,"Él vende su carro viejo","He sells his old car","El verbo 'sell' lleva 's' en tercera persona del singular."
72,"Trabajar (presente)","I work, you work, he/she works, we work, you work, they work","Verbo regular con 's' en tercera persona del singular."
73,"Oficina","Office","Sustantivo común."
74,"Empresa","Company","Sustantivo común."
75,"Ellos trabajan en una oficina grande","They work in a big office","El verbo 'work' es regular."
76,"Estudiar (presente)","I study, you study, he/she studies, we study, you study, they study","Verbo regular con cambio de 'y' a 'ies' en tercera persona del singular."
77,"Universidad","University","Sustantivo común."
78,"Examen","Exam","Sustantivo común."
79,"Yo estudio para el examen","I study for the exam","'Study' es regular en presente simple."
80,"Cocinar (presente)","I cook, you cook, he/she cooks, we cook, you cook, they cook","Verbo regular con 's' en tercera persona del singular."
81,"Cocina","Kitchen","Sustantivo común."
82,"Receta","Recipe","Sustantivo común."
83,"Ella cocina una nueva receta","She cooks a new recipe","El verbo 'cook' lleva 's' en tercera persona del singular."
84,"Dormir (presente)","I sleep, you sleep, he/she sleeps, we sleep, you sleep, they sleep","Verbo regular con 's' en tercera persona del singular."
85,"Cama","Bed","Sustantivo común."
86,"Almohada","Pillow","Sustantivo común."
87,"El niño duerme en su cama","The boy sleeps in his bed","El verbo 'sleep' lleva 's' en tercera persona del singular."
88,"Caminar (presente)","I walk, you walk, he/she walks, we walk, you walk, they walk","Verbo regular con 's' en tercera persona del singular."
89,"Parque","Park","Sustantivo común."
90,"Calle","Street","Sustantivo común."
91,"Nosotros caminamos en el parque","We walk in the park","'Walk' es un verbo regular."
92,"Correr (presente)","I run, you run, he/she runs, we run, you run, they run","Verbo regular con 's' en tercera persona del singular."
93,"Maratón","Marathon","Sustantivo común."
94,"Ellos corren un maratón","They run a marathon","'Run' es regular en presente simple."
95,"Nadar (presente)","I swim, you swim, he/she swims, we swim, you swim, they swim","Verbo regular con 's' en tercera persona del singular."
96,"Piscina","Pool","Sustantivo común."
97,"Playa","Beach","Sustantivo común."
98,"Yo nado en la piscina","I swim in the pool","'Swim' es un verbo regular en presente simple."
99,"Cantar (presente)","I sing, you sing, he/she sings, we sing, you sing, they sing","Verbo regular con 's' en tercera persona del singular."
100,"Canción","Song","Sustantivo común."
101,"Bailar (presente)","I dance, you dance, he/she dances, we dance, you dance, they dance","Presta atención a la conjugación del verbo; 'he/she' cambia la terminación."
